X;time;peak;backend
[1, 128, 128, 1];0.0015043199236970395;0.33192534174164473;jir
[1, 128, 128, 1];0.0015172891871770844;0.32908815865938706;mlir
[1, 128, 128, 1];0.0014867650606902316;0.33584452444025975;tvm
[1, 128, 128, 4];0.0015043790772324428;0.33191229013932516;jir
[1, 128, 128, 4];0.001486033172113821;0.3360099317646052;mlir
[1, 128, 128, 4];0.001503817256889306;0.33203629129430795;tvm
[1, 256, 1, 1];0.0014543478901032358;0.34333044257138556;jir
[1, 256, 1, 1];0.0014534153451677412;0.3435507313322588;mlir
[1, 256, 1, 1];0.0014512189227389172;0.3440706959770919;tvm
[1, 256, 1, 4];0.0014548068429576233;0.34322213095092613;jir
[1, 256, 1, 4];0.001453793840482831;0.34346128787839064;mlir
[1, 256, 1, 4];0.0014541261334670708;0.3433828010307279;tvm
[1, 256, 2, 1];0.0014037301152711734;0.3557107590196891;jir
[1, 256, 2, 1];0.0014037799119250849;0.3556981407984074;mlir
[1, 256, 2, 1];0.00140378724609036;0.3556962824335021;tvm
[1, 256, 2, 4];0.0014034961204743013;0.3557700641118713;jir
[1, 256, 2, 4];0.0014035780768608674;0.35574929032708247;mlir
[1, 256, 2, 4];0.0014027580473339185;0.3559572555729877;tvm
[1, 256, 4, 1];0.001404180598910898;0.3555966413075254;jir
[1, 256, 4, 1];0.0014058619126444682;0.3551713722883817;mlir
[1, 256, 4, 1];0.0014012141327839345;0.3563494637110541;tvm
[1, 256, 4, 4];0.001403420334099792;0.3557892761203215;jir
[1, 256, 4, 4];0.0014045722200535238;0.35549749427827726;mlir
[1, 256, 4, 4];0.0014047161093913019;0.3554610795901481;tvm
[1, 256, 8, 1];0.0014031471800990403;0.3558585384654092;jir
[1, 256, 8, 1];0.0014029068406671286;0.3559195024841854;mlir
[1, 256, 8, 1];0.0014027298893779516;0.35596440094630893;tvm
[1, 256, 8, 4];0.0014029336161911488;0.3559127096245105;jir
[1, 256, 8, 4];0.0014058660017326474;0.35517033924038266;mlir
[1, 256, 8, 4];0.001402612600941211;0.3559941671897423;tvm
[1, 256, 16, 1];0.001399803630192764;0.3567085368203711;jir
[1, 256, 16, 1];0.0014100563421379775;0.35411486040679424;mlir
[1, 256, 16, 1];0.001406940893502906;0.3548989918963312;tvm
[1, 256, 16, 4];0.00139969217707403;0.35673694040764475;jir
[1, 256, 16, 4];0.001404720576829277;0.35545994911597995;mlir
[1, 256, 16, 4];0.0014013494364917278;0.3563150573007365;tvm
[1, 256, 32, 1];0.0013983209792058915;0.35708675775248;jir
[1, 256, 32, 1];0.0014016964996699244;0.3562268328981963;mlir
[1, 256, 32, 1];0.0014082855195738375;0.354560135584583;tvm
[1, 256, 32, 4];0.0013983778189867735;0.3570722432680603;jir
[1, 256, 32, 4];0.0014018380315974355;0.3561908676374779;mlir
[1, 256, 32, 4];0.0013962297671241686;0.3576215867323644;tvm
[1, 256, 64, 1];0.0013984036340843886;0.35706565156979025;jir
[1, 256, 64, 1];0.0014150004280963913;0.35287756444967694;mlir
[1, 256, 64, 1];0.0014189007342793047;0.3519075666808523;tvm
[1, 256, 64, 4];0.0013984359247842804;0.3570574067159559;jir
[1, 256, 64, 4];0.0013984840188641101;0.35704512745699357;mlir
[1, 256, 64, 4];0.001419442196493037;0.3517733275758328;tvm
[2, 16, 1, 1];0.001996322360355407;0.2501208796123538;jir
[2, 16, 1, 1];0.001997695944737643;0.24994890042061962;mlir
[2, 16, 1, 1];0.001989269396290183;0.2510076843755287;tvm
[2, 16, 1, 4];0.0019961915677413344;0.250137267800846;jir
[2, 16, 1, 4];0.001998790627112612;0.24981201031706304;mlir
[2, 16, 1, 4];0.001989357464481145;0.25099657234912054;tvm
[2, 16, 2, 1];0.0020012073509860784;0.24951032911000853;jir
[2, 16, 2, 1];0.001999928237637505;0.24966991083227502;mlir
