X;Y;X_fit_1;X_fit_2
[8, 4, 1, 0];0.11255078104078989;[-0.051062990588074474];[-0.051062990588069845, -0.09658272140548818]
[2, 8, 16, 1];0.1262243572027169;[0.1532291909127999];[0.15322919091280213, -0.06683624720964265]
[128, 1, 2, 0];0.006366318452890874;[-1.6479465639210078];[-1.6479465639209832, -0.9917708130383388]
[64, 1, 8, 5];0.004760038834816347;[-0.7430957904693846];[-0.7430957904693798, -0.5681743682166057]
[4, 128, 2, 5];0.02109455127866809;[0.04262436623517719];[0.042624366235146684, 1.7206291482844354]
[32, 4, 1, 2];0.013342349639462531;[-0.37192541872119655];[-0.37192541872119234, -0.26600169280667885]
[8, 8, 16, 0];0.0812370347237643;[0.07301358387951806];[0.07301358387952311, -0.10919099005994383]
[4, 1, 32, 0];0.03117120050948095;[0.2559308069165747];[0.25593080691658193, -0.25737685537282795]
[2, 2, 64, 4];0.03185394904094195;[0.545421502430053];[0.5454215024300546, -0.3791267214768477]
[1, 8, 256, 1];0.06515969279652215;[2.1353037292832178];[2.1353037292832417, -1.1872762799932446]
[1, 128, 32, 4];0.3436537833270601;[0.3288203285682591];[0.32882032856823257, 1.600869125135584]
[16, 32, 2, 1];0.3972623355682642;[-0.14258672925630064];[-0.1425867292563023, 0.24726937540278637]
[4, 8, 64, 1];0.0969794423209829;[0.5202317093413472];[0.5202317093413539, -0.30645432614480594]
[1, 1, 2, 1];0.008094222353608009;[0.049950451616773826];[0.04995045161677591, -0.09526208937367815]
[2, 4, 16, 4];0.0636985182435446;[0.15219669585343118];[0.15219669585342813, -0.12469667584217892]
[64, 8, 16, 4];0.028942193287978157;[-0.6756654150977676];[-0.6756654150977615, -0.5045019233293901]
[4, 1, 2, 1];0.028980231369218613;[0.009842648100133316];[0.009842648100135921, -0.1164394607988275]
[16, 8, 1, 4];0.3446760061780135;[-0.15698463823974088];[-0.15698463823974382, -0.0951952832400004]
[128, 2, 1, 5];0.0030558482582261053;[-1.6558913787833751];[-1.6558913787833607, -0.9726077927277246]
[16, 1, 32, 5];0.046496834620948446;[0.0954995928500171];[0.09549959285001634, -0.34208634107341385]
[1, 64, 16, 2];0.21683242685840132;[0.1810533895828798];[0.18105338958286876, 0.7502688774543507]
[16, 1, 4, 3];0.045469502490386886;[-0.13418268871199737];[-0.13418268871199668, -0.21054477280435352]
[256, 1, 2, 0];0.006389177052284398;[-3.3592128472976674];[-3.3592128472976235, -1.8953386605113807]
[16, 4, 8, 3];0.04185708530333123;[-0.10059656290860991];[-0.10059656290860944, -0.18594110393981242]
[2, 32, 64, 4];0.46949067484645907;[0.5531652153753382];[0.5531652153753338, 0.05482649326722774]
[2, 64, 1, 2];0.35361118255041624;[0.04464004233577853];[0.044640042335766246, 0.8136784509329665]
[128, 8, 2, 1];0.04892968052710357;[-1.646139697567107];[-1.6461396975670854, -0.8905150629313857]
[4, 8, 64, 4];0.24841624786604471;[0.5202317093413498];[0.5202317093413504, -0.3064543261447987]
[32, 8, 4, 3];0.01042021185530821;[-0.3462841077801802];[-0.34628410778017826, -0.22223500363153278]
